divisie,team1,team2,datum,scheidsrechter,stadion,bezoekersaantal,uitslag,overtredingen
Eerste klasse,Nijemirdum UHC,Wieringerwaard HC,11/12/2024,Bertho,Abbenes Stadium,2825,2-2,2
Eerste klasse,Nijemirdum UHC,Abbega UHC,12/12/2024,van Rooij,Kerkrade Olympic Stadium,6671,2-6,0
Eerste klasse,Nijemirdum UHC,Wekerom HC,10/12/2024,van Loon,Zuidoostbeemster Stadion,25291,4-0,3
Eerste klasse,Nijemirdum UHC,Reading Hockey Club,01/12/2024,van de Wal,Tripscompagnie Stadion,1544,3-0,2
Eerste klasse,Nijemirdum UHC,Voorthuizen UHC,17/12/2024,de Heer,Abbenes Stadium,25792,8-2,10
Eerste klasse,Nijemirdum UHC,Waterloo Ducks,15/12/2024,van Schevinghuizen,Kerkrade Olympic Stadium,2767,8-7,0
Eerste klasse,Nijemirdum UHC,Amsterdamsche Hockey & Bandey Club,16/12/2024,Bertho,Rutten Arena,29283,3-6,2
Eerste klasse,Nijemirdum UHC,Hartwerd UHC,07/12/2024,van Loon,Neede Stadion,21851,4-0,4
Eerste klasse,Nijemirdum UHC,UHC Hamburg,10/12/2024,de Heer,Zuidoostbeemster Stadion,1921,3-2,29
Eerste klasse,Nijemirdum UHC,HOC Gazellen-Combinatie,26/12/2024,Hulst,Ruinerwold Olympic Stadium,6738,2-6,3
Eerste klasse,Nijemirdum UHC,Harvestehuder THC,24/12/2024,van Rooij,Markenbinnen Park,1411,4-2,4
Eerste klasse,Nijemirdum UHC,Club de Campo,14/12/2024,van Rooij,Oost-Graftdijk Olympic Stadium,28865,0-8,1
Eerste klasse,Nijemirdum UHC,HC Vinkeveen,14/12/2024,van de Wal,Haarlo Arena,27008,3-1,3
Eerste klasse,Nijemirdum UHC,Rot-Weiss Köln,07/12/2024,van Schevinghuizen,Ruinerwold Olympic Stadium,6695,5-2,8
Eerste klasse,Nijemirdum UHC,HC IJlst,15/12/2024,Hulst,Gerkesklooster Park,22785,3-0,10
Eerste klasse,Nijemirdum UHC,UHC Wolfheze,21/12/2024,de Heer,Kiel-Windeweer Stadion,18169,0-0,0
Eerste klasse,Nijemirdum UHC,UHC Nijkerkerveen,11/12/2024,van Loon,Radio Kootwijk Stadion,2401,5-2,99
Eerste klasse,Nijemirdum UHC,Schipborg UHC,14/12/2024,de Heer,Rutten Arena,4279,3-5,3
Eerste klasse,Nijemirdum UHC,HC Noord-Scharwoude,11/12/2024,Kalman,Oost-Graftdijk Olympic Stadium,12465,6-2,0
Eerste klasse,Wieringerwaard HC,Nijemirdum UHC,20/12/2024,Lankle,Radio Kootwijk Stadion,22359,4-4,6
Eerste klasse,Wieringerwaard HC,Abbega UHC,26/12/2024,Bertho,Markenbinnen Park,14994,8-1,2
Eerste klasse,Wieringerwaard HC,Wekerom HC,14/12/2024,van Schevinghuizen,Kerkrade Olympic Stadium,8139,3-0,1
Eerste klasse,Wieringerwaard HC,Reading Hockey Club,04/12/2024,de Heer,Tripscompagnie Stadion,15360,0-5,2
Eerste klasse,Wieringerwaard HC,Voorthuizen UHC,13/12/2024,Lankle,Kerkrade Olympic Stadium,28796,6-6,5
Eerste klasse,Wieringerwaard HC,Waterloo Ducks,10/12/2024,van Rooij,Kiel-Windeweer Stadion,19543,7-4,1
Eerste klasse,Wieringerwaard HC,Amsterdamsche Hockey & Bandey Club,14/12/2024,van de Wal,Haarlo Arena,2444,1-6,10
Eerste klasse,Wieringerwaard HC,Hartwerd UHC,01/12/2024,de Heer,Markenbinnen Park,26548,6-4,1
Eerste klasse,Wieringerwaard HC,UHC Hamburg,18/12/2024,Hulst,Rutten Arena,28303,1-6,1
Eerste klasse,Wieringerwaard HC,HOC Gazellen-Combinatie,01/12/2024,Hulst,Kerkrade Olympic Stadium,27612,2-0,10
Eerste klasse,Wieringerwaard HC,Harvestehuder THC,07/12/2024,van Loon,Radio Kootwijk Stadion,2627,7-4,0
Eerste klasse,Wieringerwaard HC,Club de Campo,30/12/2024,van Loon,Abbenes Stadium,8529,4-1,0
Eerste klasse,Wieringerwaard HC,HC Vinkeveen,20/12/2024,van Rheineck,Gerkesklooster Park,20703,7-6,3
Eerste klasse,Wieringerwaard HC,Rot-Weiss Köln,12/12/2024,van Loon,Radio Kootwijk Stadion,15458,0-5,79
Eerste klasse,Wieringerwaard HC,HC IJlst,28/12/2024,Bertho,Gorinchem Arena,22021,7-2,3
Eerste klasse,Wieringerwaard HC,UHC Wolfheze,22/12/2024,Bertho,Ruinerwold Olympic Stadium,1311,6-8,5
Eerste klasse,Wieringerwaard HC,UHC Nijkerkerveen,06/12/2024,Bertho,Kerkrade Olympic Stadium,6373,2-0,4
Eerste klasse,Wieringerwaard HC,Schipborg UHC,24/12/2024,Bertho,Neede Stadion,19423,0-0,0
Eerste klasse,Wieringerwaard HC,HC Noord-Scharwoude,09/12/2024,Kalman,Zuidoostbeemster Stadion,15084,8-7,3
Eerste klasse,Abbega UHC,Nijemirdum UHC,23/12/2024,Kalman,Gorinchem Arena,14186,3-3,3
Eerste klasse,Abbega UHC,Wieringerwaard HC,10/12/2024,de Heer,Molenaarsgraaf Stadium,13253,2-7,2
Eerste klasse,Abbega UHC,Wekerom HC,13/12/2024,van Schevinghuizen,Rutten Arena,12859,6-1,77
Eerste klasse,Abbega UHC,Reading Hockey Club,13/12/2024,van Rheineck,Haarlo Arena,5637,5-0,7
Eerste klasse,Abbega UHC,Voorthuizen UHC,28/12/2024,van Rooij,Tripscompagnie Stadion,19720,3-3,1
Eerste klasse,Abbega UHC,Waterloo Ducks,28/12/2024,Lankle,Kerkrade Olympic Stadium,29937,1-1,10
Eerste klasse,Abbega UHC,Amsterdamsche Hockey & Bandey Club,19/12/2024,Lankle,Oost-Graftdijk Olympic Stadium,3817,8-4,2
Eerste klasse,Abbega UHC,Hartwerd UHC,08/12/2024,Bertho,Neede Stadion,5543,4-1,2
Eerste klasse,Abbega UHC,UHC Hamburg,11/12/2024,van Rooij,Tripscompagnie Stadion,25509,6-0,2
Eerste klasse,Abbega UHC,HOC Gazellen-Combinatie,09/12/2024,van Loon,Molenaarsgraaf Stadium,28497,2-8,0
Eerste klasse,Abbega UHC,Harvestehuder THC,01/12/2024,de Heer,Ruinerwold Olympic Stadium,8992,6-2,0
Eerste klasse,Abbega UHC,Club de Campo,26/12/2024,van Schevinghuizen,Markenbinnen Park,9136,1-8,6
Eerste klasse,Abbega UHC,HC Vinkeveen,03/12/2024,van Rooij,Woudsend Park,12620,5-3,9
Eerste klasse,Abbega UHC,Rot-Weiss Köln,10/12/2024,van Rheineck,Markenbinnen Park,24124,4-7,2
Eerste klasse,Abbega UHC,HC IJlst,08/12/2024,van de Wal,Zuidoostbeemster Stadion,13508,4-1,8
Eerste klasse,Abbega UHC,UHC Wolfheze,17/12/2024,Bertho,Tripscompagnie Stadion,13740,2-1,0
Eerste klasse,Abbega UHC,UHC Nijkerkerveen,26/12/2024,van Loon,Tripscompagnie Stadion,29131,5-5,3
Eerste klasse,Abbega UHC,Schipborg UHC,19/12/2024,Bertho,Neede Stadion,6047,6-0,0
Eerste klasse,Abbega UHC,HC Noord-Scharwoude,22/12/2024,van Loon,Haarle Arena,20831,5-7,20
Eerste klasse,Wekerom HC,Nijemirdum UHC,13/12/2024,Lankle,Rutten Arena,11028,7-4,1
Eerste klasse,Wekerom HC,Wieringerwaard HC,15/12/2024,Hulst,Zuidoostbeemster Stadion,23653,6-1,9
Eerste klasse,Wekerom HC,Abbega UHC,02/12/2024,van Schevinghuizen,Kiel-Windeweer Stadion,13452,7-7,3
Eerste klasse,Wekerom HC,Reading Hockey Club,21/12/2024,van Schevinghuizen,Ruinerwold Olympic Stadium,17178,5-4,0
Eerste klasse,Wekerom HC,Voorthuizen UHC,26/12/2024,van Rheineck,Woudsend Park,22735,8-0,1
Eerste klasse,Wekerom HC,Waterloo Ducks,14/12/2024,Lankle,Tripscompagnie Stadion,9557,1-8,9
Eerste klasse,Wekerom HC,Amsterdamsche Hockey & Bandey Club,24/12/2024,van Schevinghuizen,Rutten Arena,23460,0-4,3
Eerste klasse,Wekerom HC,Hartwerd UHC,11/12/2024,van de Wal,Tripscompagnie Stadion,29800,8-3,11
Eerste klasse,Wekerom HC,UHC Hamburg,12/12/2024,van Rooij,Haghorst Stadion,17414,2-6,9
Eerste klasse,Wekerom HC,HOC Gazellen-Combinatie,14/12/2024,de Heer,Radio Kootwijk Stadion,20475,2-5,1
Eerste klasse,Wekerom HC,Harvestehuder THC,07/12/2024,Bertho,Kiel-Windeweer Stadion,17813,3-1,6
Eerste klasse,Wekerom HC,Club de Campo,16/12/2024,van Rheineck,Aartswoud Park,16361,5-6,10
Eerste klasse,Wekerom HC,HC Vinkeveen,04/12/2024,van Rooij,Woudsend Park,22928,5-7,3
Eerste klasse,Wekerom HC,Rot-Weiss Köln,10/12/2024,de Heer,Neede Stadion,26002,6-3,10
Eerste klasse,Wekerom HC,HC IJlst,03/12/2024,van Schevinghuizen,Haghorst Stadion,1694,2-4,3
Eerste klasse,Wekerom HC,UHC Wolfheze,18/12/2024,van Loon,Tripscompagnie Stadion,17833,0-0,0
Eerste klasse,Wekerom HC,UHC Nijkerkerveen,03/12/2024,van Rheineck,Ruinerwold Olympic Stadium,24391,7-2,4
Eerste klasse,Wekerom HC,Schipborg UHC,08/12/2024,van de Wal,Haarlo Arena,12172,1-3,2
Eerste klasse,Wekerom HC,HC Noord-Scharwoude,18/12/2024,van Loon,Ruinerwold Olympic Stadium,10665,0-4,3
