divisie,team1,team2,datum,scheidsrechter,stadion,bezoekersaantal,uitslag,overtredingen
Hoofdklasse,Krommenie UHC,Leutingewolde HC,26/12/2024,Stamrood,Buitenkaag Stadion,19838,2-8,0
Hoofdklasse,Krommenie UHC,Waterloo Ducks,14/12/2024,Verbruggen,Terband Park,14214,0-8,10
Hoofdklasse,Krommenie UHC,Middelstum HC,30/12/2024,van Roijen,Varsseveld Stadion,1093,1-2,9
Hoofdklasse,Krommenie UHC,Amsterdamsche Hockey & Bandey Club,25/12/2024,Mallien,Hoogblokland Olympic Stadium,6411,4-5,0
Hoofdklasse,Krommenie UHC,HC Sint-Michielsgestel,18/12/2024,van Roijen,Meeuwen Stadium,9313,8-6,3
Hoofdklasse,Krommenie UHC,Sint-Michielsgestel HC,21/12/2024,Stamrood,Alteveer Olympic Stadium,11029,0-3,1
Hoofdklasse,Krommenie UHC,Kampong,23/12/2024,Stamrood,Varsseveld Stadion,28827,6-6,3
Hoofdklasse,Krommenie UHC,UHC Hamburg,18/12/2024,Geldens,Putte Olympic Stadium,16350,1-0,4
Hoofdklasse,Krommenie UHC,HOC Gazellen-Combinatie,16/12/2024,Geldens,Hoogblokland Olympic Stadium,14084,1-5,23
Hoofdklasse,Krommenie UHC,Anevelde HC,27/12/2024,Mallien,Mierlo Stadium,7523,7-6,3
Hoofdklasse,Krommenie UHC,HC Gorinchem,04/12/2024,Stamrood,Angeren Stadion,26347,4-0,8
Hoofdklasse,Krommenie UHC,Hoorn HC,15/12/2024,Verbruggen,Terband Park,11061,8-0,7
Hoofdklasse,Krommenie UHC,Harvestehuder THC,21/12/2024,van de Klashorst,Varsseveld Stadion,20708,8-5,2
Hoofdklasse,Krommenie UHC,HC Leersum,13/12/2024,Stamrood,Putte Olympic Stadium,22398,6-8,9
Hoofdklasse,Krommenie UHC,Sint Kruis UHC,17/12/2024,van de Klashorst,Buitenkaag Stadion,24337,5-7,0
Hoofdklasse,Krommenie UHC,UHC Vaassen,17/12/2024,Stamrood,Haule Arena,11127,3-7,2
Hoofdklasse,Krommenie UHC,UHC Rinsumageast,14/12/2024,Mallien,Haule Arena,25181,2-2,70
Hoofdklasse,Krommenie UHC,HC Holten,19/12/2024,Stamrood,Sweikhuizen Olympic Stadium,23746,3-0,7
Hoofdklasse,Krommenie UHC,UHC Hazerswoude-Dorp,11/12/2024,van Dongen,Rekken Olympic Stadium,4123,2-3,2
Hoofdklasse,Leutingewolde HC,Krommenie UHC,04/12/2024,van de Klashorst,Putte Olympic Stadium,18038,0-2,1
Hoofdklasse,Leutingewolde HC,Waterloo Ducks,21/12/2024,Geldens,Meeuwen Stadium,1774,5-8,2
Hoofdklasse,Leutingewolde HC,Middelstum HC,10/12/2024,Mallien,Reeuwijk Olympic Stadium,19502,0-4,3
Hoofdklasse,Leutingewolde HC,Amsterdamsche Hockey & Bandey Club,18/12/2024,Stamrood,Haule Arena,6083,6-3,4
Hoofdklasse,Leutingewolde HC,HC Sint-Michielsgestel,28/12/2024,Wooning,Wijdenes Park,11204,0-4,2
Hoofdklasse,Leutingewolde HC,Sint-Michielsgestel HC,07/12/2024,Amalrada,Wijdenes Park,13292,5-2,1
Hoofdklasse,Leutingewolde HC,Kampong,11/12/2024,Verbruggen,Angeren Stadion,25359,1-1,5
Hoofdklasse,Leutingewolde HC,UHC Hamburg,20/12/2024,van de Klashorst,Mierlo Stadium,28703,8-4,7
Hoofdklasse,Leutingewolde HC,HOC Gazellen-Combinatie,20/12/2024,van Roijen,Lageland Stadium,18352,8-6,0
Hoofdklasse,Leutingewolde HC,Anevelde HC,27/12/2024,Mallien,Putte Olympic Stadium,28769,3-0,4
Hoofdklasse,Leutingewolde HC,HC Gorinchem,14/12/2024,Verbruggen,Rekken Olympic Stadium,12762,0-1,2
Hoofdklasse,Leutingewolde HC,Hoorn HC,25/12/2024,Wooning,Buitenkaag Stadion,19103,6-8,0
Hoofdklasse,Leutingewolde HC,Harvestehuder THC,07/12/2024,Stamrood,Hoogblokland Olympic Stadium,16677,2-1,5
Hoofdklasse,Leutingewolde HC,HC Leersum,18/12/2024,Amalrada,Gelselaar Park,10570,6-8,60
Hoofdklasse,Leutingewolde HC,Sint Kruis UHC,13/12/2024,Geldens,Mierlo Stadium,13748,7-5,2
Hoofdklasse,Leutingewolde HC,UHC Vaassen,17/12/2024,van de Klashorst,Wijdenes Park,22875,7-6,6
Hoofdklasse,Leutingewolde HC,UHC Rinsumageast,03/12/2024,van Dongen,Alteveer Olympic Stadium,20733,1-0,5
Hoofdklasse,Leutingewolde HC,HC Holten,01/12/2024,van Dongen,Terband Park,15990,7-8,0
Hoofdklasse,Leutingewolde HC,UHC Hazerswoude-Dorp,13/12/2024,van Roijen,Lageland Stadium,15267,2-5,4
Hoofdklasse,Waterloo Ducks,Krommenie UHC,11/12/2024,Verbruggen,Gelselaar Park,11469,3-4,7
Hoofdklasse,Waterloo Ducks,Leutingewolde HC,12/12/2024,Geldens,Haule Arena,24151,2-4,1
Hoofdklasse,Waterloo Ducks,Middelstum HC,04/12/2024,Verbruggen,Anloo Park,29897,5-1,85
Hoofdklasse,Waterloo Ducks,Amsterdamsche Hockey & Bandey Club,17/12/2024,Mallien,Hoogblokland Olympic Stadium,28184,0-8,9
Hoofdklasse,Waterloo Ducks,HC Sint-Michielsgestel,15/12/2024,van Roijen,Wijdenes Park,1650,0-5,2
Hoofdklasse,Waterloo Ducks,Sint-Michielsgestel HC,05/12/2024,Koret,Sweikhuizen Olympic Stadium,7687,6-6,4
Hoofdklasse,Waterloo Ducks,Kampong,17/12/2024,van Roijen,Varsseveld Stadion,2031,7-7,0
Hoofdklasse,Waterloo Ducks,UHC Hamburg,20/12/2024,Stamrood,Gelselaar Park,20049,1-1,3
Hoofdklasse,Waterloo Ducks,HOC Gazellen-Combinatie,02/12/2024,Geldens,Sweikhuizen Olympic Stadium,22314,4-8,8
Hoofdklasse,Waterloo Ducks,Anevelde HC,07/12/2024,Verbruggen,Hoogblokland Olympic Stadium,18267,2-3,4
Hoofdklasse,Waterloo Ducks,HC Gorinchem,09/12/2024,Verbruggen,Anloo Park,10595,2-8,1
Hoofdklasse,Waterloo Ducks,Hoorn HC,13/12/2024,van Dongen,Varsseveld Stadion,28740,2-3,7
Hoofdklasse,Waterloo Ducks,Harvestehuder THC,07/12/2024,Geldens,Angeren Stadion,1180,1-0,0
Hoofdklasse,Waterloo Ducks,HC Leersum,16/12/2024,Geldens,Alteveer Olympic Stadium,10917,0-6,3
Hoofdklasse,Waterloo Ducks,Sint Kruis UHC,04/12/2024,Amalrada,Putte Olympic Stadium,12667,7-7,0
Hoofdklasse,Waterloo Ducks,UHC Vaassen,23/12/2024,Amalrada,Sweikhuizen Olympic Stadium,15169,0-8,1
Hoofdklasse,Waterloo Ducks,UHC Rinsumageast,30/12/2024,van Roijen,Haule Arena,24809,4-4,0
Hoofdklasse,Waterloo Ducks,HC Holten,04/12/2024,Koret,Varsseveld Stadion,19892,2-7,5
Hoofdklasse,Waterloo Ducks,UHC Hazerswoude-Dorp,25/12/2024,van de Klashorst,Lageland Stadium,28410,1-2,32
Hoofdklasse,Middelstum HC,Krommenie UHC,08/12/2024,Verbruggen,Buitenkaag Stadion,6556,1-2,0
Hoofdklasse,Middelstum HC,Leutingewolde HC,27/12/2024,van Dongen,Schardam Arena,3307,3-2,1
Hoofdklasse,Middelstum HC,Waterloo Ducks,06/12/2024,Verbruggen,Haule Arena,12573,3-3,7
Hoofdklasse,Middelstum HC,Amsterdamsche Hockey & Bandey Club,12/12/2024,van Dongen,Helenaveen Stadion,16302,6-6,1
Hoofdklasse,Middelstum HC,HC Sint-Michielsgestel,05/12/2024,van de Klashorst,Hertme Olympic Stadium,19930,0-8,9
Hoofdklasse,Middelstum HC,Sint-Michielsgestel HC,07/12/2024,Amalrada,Lageland Stadium,24444,0-5,2
Hoofdklasse,Middelstum HC,Kampong,15/12/2024,Geldens,Terband Park,7934,5-1,1
Hoofdklasse,Middelstum HC,UHC Hamburg,16/12/2024,Mallien,Varsseveld Stadion,4530,0-2,29
Hoofdklasse,Middelstum HC,HOC Gazellen-Combinatie,11/12/2024,Stamrood,Hoogblokland Olympic Stadium,3667,1-2,9
Hoofdklasse,Middelstum HC,Anevelde HC,14/12/2024,Koret,Mierlo Stadium,12632,4-7,0
Hoofdklasse,Middelstum HC,HC Gorinchem,04/12/2024,Geldens,Varsseveld Stadion,2652,3-8,8
Hoofdklasse,Middelstum HC,Hoorn HC,19/12/2024,Stamrood,Schardam Arena,12498,7-0,2
Hoofdklasse,Middelstum HC,Harvestehuder THC,15/12/2024,van Dongen,Haule Arena,2352,0-2,0
Hoofdklasse,Middelstum HC,HC Leersum,25/12/2024,van Dongen,Sweikhuizen Olympic Stadium,16840,6-5,7
Hoofdklasse,Middelstum HC,Sint Kruis UHC,09/12/2024,van Roijen,Sweikhuizen Olympic Stadium,28337,8-6,8
Hoofdklasse,Middelstum HC,UHC Vaassen,08/12/2024,Koret,Lageland Stadium,7960,6-5,2
Hoofdklasse,Middelstum HC,UHC Rinsumageast,04/12/2024,Stamrood,Putte Olympic Stadium,446,7-8,8
Hoofdklasse,Middelstum HC,HC Holten,06/12/2024,Amalrada,Putte Olympic Stadium,25243,6-5,6
Hoofdklasse,Middelstum HC,UHC Hazerswoude-Dorp,25/12/2024,Mallien,Hoogblokland Olympic Stadium,21331,5-2,0
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Krommenie UHC,29/12/2024,Wooning,Hertme Olympic Stadium,10387,6-1,4
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Leutingewolde HC,08/12/2024,Wooning,Buitenkaag Stadion,24352,0-4,0
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Waterloo Ducks,01/12/2024,Mallien,Reeuwijk Olympic Stadium,15241,3-7,2
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Middelstum HC,04/12/2024,Geldens,Putte Olympic Stadium,18960,3-3,5
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,HC Sint-Michielsgestel,04/12/2024,Verbruggen,Wijdenes Park,22710,2-3,80
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Sint-Michielsgestel HC,17/12/2024,Amalrada,Haule Arena,1687,1-0,0
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Kampong,26/12/2024,Amalrada,Wijdenes Park,6096,8-6,1
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,UHC Hamburg,02/12/2024,Amalrada,Lageland Stadium,24262,5-5,2
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,HOC Gazellen-Combinatie,24/12/2024,Stamrood,Sweikhuizen Olympic Stadium,4222,2-8,1
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Anevelde HC,03/12/2024,Stamrood,Lageland Stadium,8045,0-8,9
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,HC Gorinchem,13/12/2024,Wooning,Haule Arena,8752,8-8,5
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Hoorn HC,16/12/2024,van Dongen,Hertme Olympic Stadium,2023,3-6,0
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Harvestehuder THC,01/12/2024,van de Klashorst,Haule Arena,6331,3-7,15
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,HC Leersum,01/12/2024,Geldens,Hoogblokland Olympic Stadium,3631,8-7,4
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,Sint Kruis UHC,17/12/2024,Wooning,Buitenkaag Stadion,19759,1-1,1
Hoofdklasse,Amsterdamsche Hockey & Bandey Club,UHC Vaassen,05/12/2024,Verbruggen,Terband Park,21082,5-4,4
