divisie,team1,team2,datum,scheidsrechter,stadion,bezoekersaantal,uitslag,overtredingen
Promotieklasse,UHC Appeltern,HC Oranje-Rood,26/12/2024,Ouwel,Borssele Olympic Stadium,4780,6-1,1
Promotieklasse,UHC Appeltern,UHC Moorveld,16/12/2024,Ouwel,Kamerik Stadion,272,5-3,4
Promotieklasse,UHC Appeltern,Reading Hockey Club,21/12/2024,Ouwel,Baexem Olympic Stadium,16210,0-7,8
Promotieklasse,UHC Appeltern,UHC Akersloot,17/12/2024,Recers,Ressen Stadium,22305,6-3,3
Promotieklasse,UHC Appeltern,HC De Meern,04/12/2024,Amalrada,Anerveen Olympic Stadium,24650,3-8,2
Promotieklasse,UHC Appeltern,Waterloo Ducks,03/12/2024,Amalrada,Soesterberg Park,19055,8-0,1
Promotieklasse,UHC Appeltern,UHC Stiens,10/12/2024,Broeshart,Soesterberg Park,9306,6-4,0
Promotieklasse,UHC Appeltern,Amsterdamsche Hockey & Bandey Club,12/12/2024,Amalrada,Eexterveen Olympic Stadium,17654,8-8,0
Promotieklasse,UHC Appeltern,UHC Woerdense Verlaat,07/12/2024,Smits,Rotterdam Park,23178,2-1,23
Promotieklasse,UHC Appeltern,Kampong,16/12/2024,Ramaker,Noordwijkerhout Park,16650,6-6,3
Promotieklasse,UHC Appeltern,HC Beetsterzwaag,19/12/2024,van Arkel,'t Veld Arena,22229,2-2,6
Promotieklasse,UHC Appeltern,HC Hilversum,11/12/2024,Smits,Borssele Olympic Stadium,24238,3-0,5
Promotieklasse,UHC Appeltern,Harvestehuder THC,17/12/2024,Recers,Anerveen Olympic Stadium,26714,2-7,3
Promotieklasse,UHC Appeltern,HC Frederiksoord,10/12/2024,van Arkel,Ressen Stadium,23405,3-5,7
Promotieklasse,UHC Appeltern,Bunschoten-Spakenburg HC,29/12/2024,Smits,Eexterveen Olympic Stadium,20873,4-4,1
Promotieklasse,UHC Appeltern,Hoedekenskerke HC,20/12/2024,Recers,Ferwoude Park,24198,0-0,2
Promotieklasse,UHC Appeltern,Dirkshorn UHC,13/12/2024,Louws,Putten Stadium,15676,8-3,17
Promotieklasse,UHC Appeltern,Nijeveen UHC,12/12/2024,Broeshart,Anerveen Olympic Stadium,14654,6-3,7
Promotieklasse,UHC Appeltern,Chaam UHC,19/12/2024,Ouwel,Noordwijkerhout Park,5147,8-1,2
Promotieklasse,HC Oranje-Rood,UHC Appeltern,30/12/2024,Recers,Hoofdplaat Stadium,16586,4-7,4
Promotieklasse,HC Oranje-Rood,UHC Moorveld,09/12/2024,van der Ploeg,Hoofdplaat Stadium,24520,5-4,0
Promotieklasse,HC Oranje-Rood,Reading Hockey Club,17/12/2024,van Arkel,Anerveen Olympic Stadium,1154,1-1,3
Promotieklasse,HC Oranje-Rood,UHC Akersloot,12/12/2024,Amalrada,Anerveen Olympic Stadium,8315,7-7,4
Promotieklasse,HC Oranje-Rood,HC De Meern,08/12/2024,Amalrada,Maasbracht Olympic Stadium,22649,8-0,5
Promotieklasse,HC Oranje-Rood,Waterloo Ducks,28/12/2024,Smits,Borssele Olympic Stadium,26134,8-5,1
Promotieklasse,HC Oranje-Rood,UHC Stiens,11/12/2024,van Arkel,Rotterdam Park,5446,1-5,1
Promotieklasse,HC Oranje-Rood,Amsterdamsche Hockey & Bandey Club,03/12/2024,Smits,Zwaag Olympic Stadium,20820,6-4,3
Promotieklasse,HC Oranje-Rood,UHC Woerdense Verlaat,03/12/2024,Broekhoven,Hoofdplaat Stadium,18680,7-8,0
Promotieklasse,HC Oranje-Rood,Kampong,29/12/2024,Ouwel,Doenrade Arena,1552,6-2,3
Promotieklasse,HC Oranje-Rood,HC Beetsterzwaag,13/12/2024,Louws,Hoofdplaat Stadium,4800,4-0,3
Promotieklasse,HC Oranje-Rood,HC Hilversum,18/12/2024,Smits,Soesterberg Park,12482,5-8,1
Promotieklasse,HC Oranje-Rood,Harvestehuder THC,25/12/2024,Broekhoven,'t Veld Arena,11471,1-7,10
Promotieklasse,HC Oranje-Rood,HC Frederiksoord,27/12/2024,van Arkel,Eexterveen Olympic Stadium,3896,2-7,43
Promotieklasse,HC Oranje-Rood,Bunschoten-Spakenburg HC,15/12/2024,van Arkel,Soesterberg Park,13454,4-0,3
Promotieklasse,HC Oranje-Rood,Hoedekenskerke HC,17/12/2024,Broeshart,Hoornaar Arena,11790,5-1,7
Promotieklasse,HC Oranje-Rood,Dirkshorn UHC,18/12/2024,van Arkel,Doenrade Arena,5781,5-2,7
